model,label,instance,ai_n_files,ai_n_test,ai_n_config_doc,ai_n_source,ai_second_file,ai_second_cat,gold_n_files,gold_n_test,gold_n_config_doc,gold_n_source,gold_second_file,gold_second_cat
claude-45haiku-10222025,Haiku,instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,1,0,0,1,,none,3,0,1,2,lib/ansible/utils/vars.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,7,6,0,1,test/units/plugins/lookup/test_password.py,test,2,0,0,2,lib/ansible/utils/encrypt.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,1,0,0,1,,none,3,0,1,2,lib/ansible/module_utils/urls.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,2,0,0,2,lib/ansible/plugins/filter/core.py,source,3,0,1,2,lib/ansible/parsing/yaml/dumper.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1,0,0,1,,none,3,0,1,2,lib/ansible/plugins/callback/__init__.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2,2,0,0,2,lib/ansible/modules/net_tools/nios/nios_fixed_address.py,source,2,0,0,2,lib/ansible/modules/net_tools/nios/nios_fixed_address.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,2,1,0,1,test/units/plugins/connection/test_psrp.py,test,2,0,1,1,lib/ansible/plugins/connection/psrp.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,5,0,0,5,lib/ansible/playbook/block.py,source,6,0,1,5,lib/ansible/executor/play_iterator.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b-v1055803c3a812189a1133297f7f5468579283f86,1,0,0,1,,none,1,0,0,1,,none
claude-45haiku-10222025,Haiku,instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,4,2,0,2,lib/ansible/plugins/inventory/__init__.py,source,3,0,1,2,lib/ansible/plugins/doc_fragments/constructed.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33-v1055803c3a812189a1133297f7f5468579283f86,16,2,3,11,DETAILED_CHANGES.txt,config_doc,11,0,1,10,lib/ansible/module_utils/basic.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8,3,0,0,3,lib/ansible/plugins/strategy/__init__.py,source,4,0,1,3,lib/ansible/executor/play_iterator.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59,1,0,0,1,,none,7,0,1,6,lib/ansible/parsing/dataloader.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1,0,0,1,,none,3,0,2,1,docs/docsite/rst/user_guide/playbooks_filters.rst,config_doc
claude-45haiku-10222025,Haiku,instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,2,0,0,2,lib/ansible/module_utils/common/locale.py,source,3,0,1,2,lib/ansible/module_utils/basic.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,1,0,0,1,,none,3,0,1,2,lib/ansible/module_utils/network/meraki/meraki.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8,1,0,0,1,,none,1,0,0,1,,none
