model,repo,iid,gold_fn_LOC,gold_fn_CC,gold_fn_PC,gold_cls_LOC,gold_cls_WMC,gold_cls_NOM,gold_cls_NOPM,gold_cls_NOF,gold_cls_NOPF,gold_cls_LCOM,gold_cls_Fan-In,gold_cls_Fan-Out,gold_cls_DIT,gold_arch_god_component_added,gold_arch_god_component_removed,gold_arch_unstable_dependency_added,gold_arch_unstable_dependency_removed,gold_design_broken_hierarchy_added,gold_design_broken_hierarchy_removed,gold_design_broken_modularization_added,gold_design_broken_modularization_removed,gold_design_deficient_encapsulation_added,gold_design_deficient_encapsulation_removed,gold_design_feature_envy_added,gold_design_feature_envy_removed,gold_design_insufficient_modularization_added,gold_design_insufficient_modularization_removed,gold_design_multifaceted_abstraction_added,gold_design_multifaceted_abstraction_removed,gold_design_rebellious_hierarchy_added,gold_design_rebellious_hierarchy_removed,gold_design_wide_hierarchy_added,gold_design_wide_hierarchy_removed,gold_impl_complex_conditional_added,gold_impl_complex_conditional_removed,gold_impl_complex_method_added,gold_impl_complex_method_removed,gold_impl_empty_catch_block_added,gold_impl_empty_catch_block_removed,gold_impl_long_identifier_added,gold_impl_long_identifier_removed,gold_impl_long_lambda_function_added,gold_impl_long_lambda_function_removed,gold_impl_long_method_added,gold_impl_long_method_removed,gold_impl_long_parameter_list_added,gold_impl_long_parameter_list_removed,gold_impl_long_statement_added,gold_impl_long_statement_removed,gold_impl_magic_number_added,gold_impl_magic_number_removed,gold_impl_missing_default_added,gold_impl_missing_default_removed,llm_fn_LOC,llm_fn_CC,llm_fn_PC,llm_cls_LOC,llm_cls_WMC,llm_cls_NOM,llm_cls_NOPM,llm_cls_NOF,llm_cls_NOPF,llm_cls_LCOM,llm_cls_Fan-In,llm_cls_Fan-Out,llm_cls_DIT,llm_arch_god_component_added,llm_arch_god_component_removed,llm_arch_unstable_dependency_added,llm_arch_unstable_dependency_removed,llm_design_broken_hierarchy_added,llm_design_broken_hierarchy_removed,llm_design_broken_modularization_added,llm_design_broken_modularization_removed,llm_design_deficient_encapsulation_added,llm_design_deficient_encapsulation_removed,llm_design_feature_envy_added,llm_design_feature_envy_removed,llm_design_insufficient_modularization_added,llm_design_insufficient_modularization_removed,llm_design_multifaceted_abstraction_added,llm_design_multifaceted_abstraction_removed,llm_design_rebellious_hierarchy_added,llm_design_rebellious_hierarchy_removed,llm_design_wide_hierarchy_added,llm_design_wide_hierarchy_removed,llm_impl_complex_conditional_added,llm_impl_complex_conditional_removed,llm_impl_complex_method_added,llm_impl_complex_method_removed,llm_impl_empty_catch_block_added,llm_impl_empty_catch_block_removed,llm_impl_long_identifier_added,llm_impl_long_identifier_removed,llm_impl_long_lambda_function_added,llm_impl_long_lambda_function_removed,llm_impl_long_method_added,llm_impl_long_method_removed,llm_impl_long_parameter_list_added,llm_impl_long_parameter_list_removed,llm_impl_long_statement_added,llm_impl_long_statement_removed,llm_impl_magic_number_added,llm_impl_magic_number_removed,llm_impl_missing_default_added,llm_impl_missing_default_removed
claude-45haiku-10222025,ansible,instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,14.0,3.0,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,3.0,3.0,42.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
claude-45haiku-10222025,ansible,instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,25.0,6.0,0.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,12.0,0.0,104.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
claude-45haiku-10222025,ansible,instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,12.0,3.0,1.0,12.0,3.0,1.0,1.0,0.0,0.0,-0.03,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19.0,3.0,2.0,19.0,3.0,1.0,1.0,0.0,0.0,-0.03,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
claude-45haiku-10222025,ansible,instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,8.0,3.0,1.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3.0,1.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-45haiku-10222025,ansible,instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,-17.0,-7.0,1.0,-34.0,-14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6.0,1.0,1.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-45haiku-10222025,ansible,instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2,57.0,12.0,4.0,59.0,15.0,3.0,3.0,7.0,6.0,0.33,1.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,67.0,10.0,1.0,74.0,12.0,2.0,2.0,7.0,6.0,1.0,1.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
claude-45haiku-10222025,ansible,instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,-37.0,-10.0,0.0,-118.0,-20.0,0.0,0.0,-22.0,-1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-21.0,-10.0,0.0,-44.0,-20.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-45haiku-10222025,ansible,instance_ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,12.0,0.0,-2.0,22.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15.0,0.0,-2.0,28.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
claude-45haiku-10222025,ansible,instance_ansible__ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b-v1055803c3a812189a1133297f7f5468579283f86,4.0,2.0,1.0,4.0,2.0,1.0,-1.0,3.0,2.0,0.07,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17.0,2.0,2.0,17.0,2.0,2.0,0.0,0.0,0.0,-0.0999999999999999,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0
claude-45haiku-10222025,ansible,instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,17.0,11.0,0.0,34.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.0,22.0,0.0,72.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
