attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Function Metrics,LOC,12.0,16.0,1.1719815830488937e-05,0.17575894623777488,S
Function Metrics,CC,2.0,4.0,0.00020548545401703934,0.1896658940584544,S
Function Metrics,PC,1.0,1.0,0.2883897589732518,0.03793317881169088,N
Class / Module Metrics,LOC,20.0,22.0,0.00010386906857811289,0.13025043812538867,N
Class / Module Metrics,WMC,4.0,5.0,0.0004722268531683898,0.14930182599355532,S
Class / Module Metrics,NOM,1.0,1.0,0.3951087255777882,0.03748092034597773,N
Class / Module Metrics,NOPM,0.0,0.0,0.4765263448008006,0.043642941941319464,N
Class / Module Metrics,NOF,0.0,0.0,0.41119063569558545,-0.03505003109276952,N
Class / Module Metrics,NOPF,0.0,0.0,0.15793533983819208,-0.05370569280343716,N
Class / Module Metrics,LCOM,0.0,0.0,0.5748774337478705,-0.029622929504211658,N
Class / Module Metrics,Fan-In,0.0,0.0,0.2520937453751121,-0.010458477019616712,N
Class / Module Metrics,Fan-Out,0.0,0.0,0.5964100421298462,-0.0036746000339193848,N
Class / Module Metrics,DIT,0.0,0.0,0.9908991485921705,-0.007236135451410481,N
