attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Function Metrics,LOC,12.0,24.0,1.581274267599084e-07,0.31490384615384615,S
Function Metrics,CC,2.0,7.0,9.161649250688768e-09,0.3505917159763314,M
Function Metrics,PC,1.0,2.0,5.0593529733710715e-05,0.17585059171597633,S
Class / Module Metrics,LOC,18.5,30.0,6.103819312351599e-06,0.25018491124260356,S
Class / Module Metrics,WMC,4.0,8.0,3.384770595264662e-08,0.3103735207100592,S
Class / Module Metrics,NOM,1.0,1.0,8.397212006449911e-07,0.2198594674556213,S
Class / Module Metrics,NOPM,0.0,0.0,0.0004495671346446769,0.11825073964497042,N
Class / Module Metrics,NOF,0.0,0.0,9.012327101393276e-05,0.09273298816568047,N
Class / Module Metrics,NOPF,0.0,0.0,0.004187050439890112,0.03818417159763313,N
Class / Module Metrics,LCOM,0.0,0.0,0.351603022730565,-0.028476331360946745,N
Class / Module Metrics,Fan-In,0.0,0.0,0.20602686216734578,-0.04604289940828402,N
Class / Module Metrics,Fan-Out,0.0,0.0,0.24128572423533912,-0.03781434911242604,N
Class / Module Metrics,DIT,0.0,0.0,0.5561682411272006,0.00027736686390532545,N
