attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Function Metrics,LOC,11.0,27.0,2.4941131668639338e-09,0.3787603305785124,M
Function Metrics,CC,2.0,6.0,5.22471600161792e-10,0.3999173553719008,M
Function Metrics,PC,1.0,2.0,4.877667749164207e-06,0.16859504132231404,S
Class / Module Metrics,LOC,19.0,35.5,1.4078798582569237e-08,0.3179338842975207,S
Class / Module Metrics,WMC,3.5,8.0,4.726218965276026e-09,0.3458677685950413,M
Class / Module Metrics,NOM,1.0,1.0,2.3860712840565772e-05,0.13644628099173553,N
Class / Module Metrics,NOPM,0.0,0.0,1.9042421219099204e-05,0.1290082644628099,N
Class / Module Metrics,NOF,0.0,0.0,0.12440325160009974,-0.020082644628099174,N
Class / Module Metrics,NOPF,0.0,0.0,0.5026590999609377,-0.025041322314049586,N
Class / Module Metrics,LCOM,0.0,0.0,0.26447308847051076,-0.05495867768595041,N
Class / Module Metrics,Fan-In,0.0,0.0,0.6258898598400569,-0.016942148760330577,N
Class / Module Metrics,Fan-Out,0.0,0.0,0.9961105555297699,0.008099173553719008,N
Class / Module Metrics,DIT,0.0,0.0,0.04550943667351483,-0.026776859504132233,N
