attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Function Metrics,LOC,10.0,14.0,0.6660751331034078,0.04591836734693878,N
Function Metrics,CC,2.5,3.0,0.1492346404559989,0.1564625850340136,S
Function Metrics,PC,0.5,0.0,0.33558117278166255,-0.05102040816326531,N
Class / Module Metrics,LOC,15.0,18.0,0.9054265298407747,-0.011904761904761904,N
Class / Module Metrics,WMC,2.5,4.5,0.1946017111038315,0.1349206349206349,N
Class / Module Metrics,NOM,0.0,0.0,0.7881549378899925,-0.05442176870748299,N
Class / Module Metrics,NOPM,0.0,0.0,0.8264175346181268,0.009070294784580499,N
Class / Module Metrics,NOF,0.0,0.0,0.9156192450062229,-0.05045351473922902,N
Class / Module Metrics,NOPF,0.0,0.0,0.3495054045690227,-0.0873015873015873,N
Class / Module Metrics,LCOM,0.0,0.0,0.032989094843819185,-0.2437641723356009,S
Class / Module Metrics,Fan-In,0.0,0.0,0.43247321567092645,-0.04365079365079365,N
Class / Module Metrics,Fan-Out,0.0,0.0,0.6387640226351279,-0.024943310657596373,N
Class / Module Metrics,DIT,0.0,0.0,0.31731050786291415,-0.023809523809523808,N
