attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Complexity,CC,0.036239495798319296,0.07896103896103895,4.476218680333158e-09,0.18957451548229004,S
Complexity,WMC,2.0,3.0,1.0563030805790058e-05,0.1516484740476721,S
Complexity,MaxNest,1.0,1.0,0.00011718626828374057,0.14273780351971485,N
Complexity,NPATH,0.0,0.0,0.00020140852789542915,0.17999554466473602,S
Coupling,CBO,0.0,0.0,0.14530418808052775,0.05591445756293161,N
Coupling,RFC,0.0,0.0,0.9910719464547588,0.005736244152372466,N
Inheritance,NOC,0.0,0.0,0.15730211848151354,0.0007239919803965248,N
Inheritance,IFANIN,0.0,0.0,0.20331930777603446,0.001225217197594119,N
Abstraction,Declarative Methods,0.0,0.0,0.9895510991185651,-0.0061817776787703275,N
Design Size,NL,20.0,27.0,1.6853438081184328e-07,0.19280463354867453,S
Design Size,LOC,13.0,13.0,0.04141840618412249,0.045834261528179994,N
Design Size,BLOC,3.0,4.5,8.948465718447383e-09,0.21764312764535532,S
Design Size,CLOC,2.0,9.5,5.9506205958908e-14,0.44692581866785475,M
Design Size,STMTC,8.0,10.0,6.323765823457022e-06,0.14574515482290043,N
Design Size,Classes,0.0,0.0,0.5303335836680823,-0.00623746936957006,N
Design Size,Functions,0.0,1.0,0.2110620267299701,0.03569837380262865,N
Design Size,NIM,0.0,0.0,0.9296560490412105,0.004121185119180218,N
Design Size,NIV,0.0,0.0,0.1487080405975254,-0.012140788594341725,N
