attr,metric,gold_central,model_central,p,cliffs_delta,delta_mag
Complexity,CC,0.0347852389594676,0.10015750286368841,1.6533057233907998e-12,0.24176750644713352,S
Complexity,WMC,2.0,4.0,2.7664380209593643e-07,0.20898631223963499,S
Complexity,MaxNest,1.0,1.0,2.4406819739366424e-07,0.19619123189843285,S
Complexity,NPATH,0.0,0.0,4.253420291153591e-06,0.20581233882166236,S
Coupling,CBO,0.0,0.0,0.5840649992386235,0.0038682801031541363,N
Coupling,RFC,0.0,0.0,0.3331600497177172,0.013092640349137076,N
Inheritance,NOC,0.0,0.0,0.17766657348944292,-0.013985320372941876,N
Inheritance,IFANIN,0.0,0.0,1.0,-0.0003471533425907558,N
Abstraction,Declarative Methods,0.0,0.0,0.92724969109168,0.025838127355683395,N
Design Size,NL,20.0,33.0,2.831003470326815e-10,0.2720690339218409,S
Design Size,LOC,13.0,17.0,0.0007640646551546196,0.11708986312239635,N
Design Size,BLOC,3.0,6.0,5.658338643919822e-10,0.2674072604641936,S
Design Size,CLOC,2.0,12.0,3.6436299494159537e-16,0.49677643324737153,L
Design Size,STMTC,8.0,11.0,1.5187879957771937e-06,0.19063677841698076,S
Design Size,Classes,0.0,0.0,0.7630524318064091,0.00029756000793493357,N
Design Size,Functions,0.0,1.0,0.10224250921158169,0.07414203531045427,N
Design Size,NIM,0.0,0.0,0.86686321140181,0.04141043443761158,N
Design Size,NIV,0.0,0.0,0.2506494445665942,-0.010265820273755208,N
