type,symbol,direction,gold_central,model_central,p,cliffs_delta,delta_mag
convention,line-too-long,introduced,1.0,0.0,0.006434992830819768,-0.33966398831263694,M
convention,line-too-long,removed,0.0,0.0,0.44203587232259023,0.053323593864134405,N
convention,line-too-long,net impact,1.0,0.0,0.012784717648086126,-0.3550036523009496,M
convention,invalid-name,introduced,1.0,0.0,0.020903563308096354,-0.3647959183673469,M
convention,invalid-name,removed,0.0,0.0,0.44967254909762533,-0.11989795918367346,N
convention,invalid-name,net impact,1.0,0.0,0.032451095858914224,-0.2461734693877551,S
convention,trailing-whitespace,introduced,,,,,N
convention,trailing-whitespace,removed,,,,,N
convention,trailing-whitespace,net impact,,,,,N
convention,consider-using-f-string,introduced,1.0,1.0,0.2405417215326905,-0.17355371900826447,S
convention,consider-using-f-string,removed,0.0,0.0,0.07746982520415631,-0.16735537190082644,S
convention,consider-using-f-string,net impact,0.0,0.0,0.8805172983439936,-0.010330578512396695,N
convention,too-many-lines,introduced,0.0,0.0,0.04550026389635839,0.17391304347826086,S
convention,too-many-lines,removed,0.0,0.0,0.04550026389635839,0.17391304347826086,S
convention,too-many-lines,net impact,0.0,0.0,1.0,0.0,N
convention,missing-function-docstring,introduced,1.0,0.0,0.08733005514045651,-0.2928,S
convention,missing-function-docstring,removed,0.0,0.0,0.014506709814540525,-0.2048,S
convention,missing-function-docstring,net impact,1.0,0.0,0.945259579884242,-0.1296,N
convention,wrong-import-order,introduced,1.0,0.0,0.1875,-0.3888888888888889,M
convention,wrong-import-order,removed,0.0,0.0,0.5,-0.1111111111111111,N
convention,wrong-import-order,net impact,1.0,0.0,0.515625,-0.25,S
convention,missing-class-docstring,introduced,,,,,N
convention,missing-class-docstring,removed,,,,,N
convention,missing-class-docstring,net impact,,,,,N
convention,import-outside-toplevel,introduced,,,,,N
convention,import-outside-toplevel,removed,,,,,N
convention,import-outside-toplevel,net impact,,,,,N
convention,wrong-import-position,introduced,,,,,N
convention,wrong-import-position,removed,,,,,N
convention,wrong-import-position,net impact,,,,,N
convention,missing-module-docstring,introduced,,,,,N
convention,missing-module-docstring,removed,,,,,N
convention,missing-module-docstring,net impact,,,,,N
convention,trailing-newlines,introduced,,,,,N
convention,trailing-newlines,removed,,,,,N
convention,trailing-newlines,net impact,,,,,N
convention,ungrouped-imports,introduced,,,,,N
convention,ungrouped-imports,removed,,,,,N
convention,ungrouped-imports,net impact,,,,,N
convention,use-implicit-booleaness-not-len,introduced,,,,,N
convention,use-implicit-booleaness-not-len,removed,,,,,N
convention,use-implicit-booleaness-not-len,net impact,,,,,N
convention,unidiomatic-typecheck,introduced,,,,,N
convention,unidiomatic-typecheck,removed,,,,,N
convention,unidiomatic-typecheck,net impact,,,,,N
convention,consider-using-enumerate,introduced,,,,,N
convention,consider-using-enumerate,removed,,,,,N
convention,consider-using-enumerate,net impact,,,,,N
convention,missing-final-newline,introduced,,,,,N
convention,missing-final-newline,removed,,,,,N
convention,missing-final-newline,net impact,,,,,N
convention,superfluous-parens,introduced,,,,,N
convention,superfluous-parens,removed,,,,,N
convention,superfluous-parens,net impact,,,,,N
convention,unexpected-line-ending-format,introduced,,,,,N
convention,unexpected-line-ending-format,removed,,,,,N
convention,unexpected-line-ending-format,net impact,,,,,N
error,import-error,introduced,,,,,N
error,import-error,removed,,,,,N
error,import-error,net impact,,,,,N
error,no-member,introduced,,,,,N
error,no-member,removed,,,,,N
error,no-member,net impact,,,,,N
error,no-name-in-module,introduced,,,,,N
error,no-name-in-module,removed,,,,,N
error,no-name-in-module,net impact,,,,,N
error,access-member-before-definition,introduced,,,,,N
error,access-member-before-definition,removed,,,,,N
error,access-member-before-definition,net impact,,,,,N
error,function-redefined,introduced,,,,,N
error,function-redefined,removed,,,,,N
error,function-redefined,net impact,,,,,N
error,unexpected-keyword-arg,introduced,,,,,N
error,unexpected-keyword-arg,removed,,,,,N
error,unexpected-keyword-arg,net impact,,,,,N
error,undefined-variable,introduced,,,,,N
error,undefined-variable,removed,,,,,N
error,undefined-variable,net impact,,,,,N
