type,symbol,direction,gold_central,model_central,p,cliffs_delta,delta_mag
convention,line-too-long,introduced,1.0,1.0,0.4166215259368554,-0.02847988608045568,N
convention,line-too-long,removed,0.0,0.0,0.49417718570263136,0.06016375934496262,N
convention,line-too-long,net impact,1.0,1.0,0.4100694516794803,-0.0630117479530082,N
convention,invalid-name,introduced,1.0,0.0,0.02281109005831155,-0.29709141274238227,S
convention,invalid-name,removed,0.0,0.0,0.3037911465272565,0.012465373961218837,N
convention,invalid-name,net impact,1.0,0.0,0.006362593678048867,-0.22853185595567868,S
convention,trailing-whitespace,introduced,,,,,N
convention,trailing-whitespace,removed,,,,,N
convention,trailing-whitespace,net impact,,,,,N
convention,consider-using-f-string,introduced,0.0,1.0,0.3938804678257749,0.15702479338842976,S
convention,consider-using-f-string,removed,0.0,0.0,0.1232247773283421,-0.15977961432506887,S
convention,consider-using-f-string,net impact,0.0,1.0,0.11704540798681987,0.20844811753902662,S
convention,too-many-lines,introduced,0.0,0.0,0.15729920705028502,0.07407407407407407,N
convention,too-many-lines,removed,0.0,0.0,0.31731050786291415,0.037037037037037035,N
convention,too-many-lines,net impact,0.0,0.0,0.31731050786291415,0.037037037037037035,N
convention,missing-function-docstring,introduced,1.0,1.0,0.9155896067270924,0.01888888888888889,N
convention,missing-function-docstring,removed,0.0,0.0,0.045649875039401114,-0.13333333333333333,N
convention,missing-function-docstring,net impact,1.0,1.0,0.3129124858309743,0.09111111111111111,N
convention,wrong-import-order,introduced,1.0,0.0,0.5037090643895187,-0.16,S
convention,wrong-import-order,removed,0.0,0.0,0.8825850508489141,-0.02666666666666667,N
convention,wrong-import-order,net impact,0.0,0.0,0.8615735437982803,-0.12,N
convention,missing-class-docstring,introduced,1.0,0.0,0.4375,-0.32,S
convention,missing-class-docstring,removed,0.0,0.0,0.75,0.02,N
convention,missing-class-docstring,net impact,1.0,0.0,0.224609375,-0.3,S
convention,import-outside-toplevel,introduced,,,,,N
convention,import-outside-toplevel,removed,,,,,N
convention,import-outside-toplevel,net impact,,,,,N
convention,wrong-import-position,introduced,,,,,N
convention,wrong-import-position,removed,,,,,N
convention,wrong-import-position,net impact,,,,,N
convention,missing-module-docstring,introduced,,,,,N
convention,missing-module-docstring,removed,,,,,N
convention,missing-module-docstring,net impact,,,,,N
convention,trailing-newlines,introduced,,,,,N
convention,trailing-newlines,removed,,,,,N
convention,trailing-newlines,net impact,,,,,N
convention,ungrouped-imports,introduced,,,,,N
convention,ungrouped-imports,removed,,,,,N
convention,ungrouped-imports,net impact,,,,,N
convention,use-implicit-booleaness-not-len,introduced,,,,,N
convention,use-implicit-booleaness-not-len,removed,,,,,N
convention,use-implicit-booleaness-not-len,net impact,,,,,N
convention,unidiomatic-typecheck,introduced,,,,,N
convention,unidiomatic-typecheck,removed,,,,,N
convention,unidiomatic-typecheck,net impact,,,,,N
convention,consider-using-enumerate,introduced,,,,,N
convention,consider-using-enumerate,removed,,,,,N
convention,consider-using-enumerate,net impact,,,,,N
error,import-error,introduced,,,,,N
error,import-error,removed,,,,,N
error,import-error,net impact,,,,,N
error,no-member,introduced,,,,,N
error,no-member,removed,,,,,N
error,no-member,net impact,,,,,N
error,no-name-in-module,introduced,,,,,N
error,no-name-in-module,removed,,,,,N
error,no-name-in-module,net impact,,,,,N
error,access-member-before-definition,introduced,,,,,N
error,access-member-before-definition,removed,,,,,N
error,access-member-before-definition,net impact,,,,,N
error,function-redefined,introduced,,,,,N
error,function-redefined,removed,,,,,N
error,function-redefined,net impact,,,,,N
error,unexpected-keyword-arg,introduced,,,,,N
error,unexpected-keyword-arg,removed,,,,,N
error,unexpected-keyword-arg,net impact,,,,,N
error,undefined-variable,introduced,,,,,N
error,undefined-variable,removed,,,,,N
error,undefined-variable,net impact,,,,,N
error,misplaced-bare-raise,introduced,,,,,N
error,misplaced-bare-raise,removed,,,,,N
error,misplaced-bare-raise,net impact,,,,,N
error,syntax-error,introduced,,,,,N
error,syntax-error,removed,,,,,N
error,syntax-error,net impact,,,,,N
fatal,fatal,introduced,0.0,0.0,1.0,0.0,N
fatal,fatal,removed,1.0,1.0,0.6875,0.12,N
fatal,fatal,net impact,-1.0,-1.0,0.6875,-0.12,N
refactor,too-many-branches,introduced,0.0,0.0,0.29896566516401923,0.14053254437869822,N
refactor,too-many-branches,removed,0.0,0.0,0.6547208460185769,0.038461538461538464,N
refactor,too-many-branches,net impact,0.0,0.0,0.5270892568655381,0.0650887573964497,N
refactor,too-many-locals,introduced,0.0,0.0,0.47950012218695337,0.08695652173913043,N
refactor,too-many-locals,removed,0.0,0.0,1.0,0.0,N
refactor,too-many-locals,net impact,0.0,0.0,0.47950012218695337,0.0945179584120983,N
refactor,too-many-statements,introduced,0.0,0.0,0.15729920705028502,0.13333333333333333,N
refactor,too-many-statements,removed,0.0,0.0,0.15729920705028502,0.13333333333333333,N
refactor,too-many-statements,net impact,0.0,0.0,1.0,-0.0044444444444444444,N
refactor,no-else-return,introduced,1.0,0.0,0.24609375,-0.45,M
refactor,no-else-return,removed,0.0,0.0,0.5,-0.2,S
refactor,no-else-return,net impact,1.0,0.0,0.46484375,-0.31,S
refactor,no-self-use,introduced,,,,,N
refactor,no-self-use,removed,,,,,N
refactor,no-self-use,net impact,,,,,N
refactor,duplicate-code,introduced,,,,,N
refactor,duplicate-code,removed,,,,,N
