type,symbol,direction,gold_central,model_central,p,cliffs_delta,delta_mag
convention,line-too-long,introduced,0.0,1.0,0.30153509752091434,0.17146776406035666,S
convention,line-too-long,removed,0.0,0.0,0.6293764031961082,0.009602194787379973,N
convention,line-too-long,net impact,0.0,1.0,0.4911516085265323,0.149519890260631,S
convention,invalid-name,introduced,1.0,0.0,0.01387031159625003,-0.455,M
convention,invalid-name,removed,0.0,0.0,0.9359102608199471,-0.075,N
convention,invalid-name,net impact,0.5,0.0,0.058759147482278846,-0.295,S
convention,trailing-whitespace,introduced,,,,,N
convention,trailing-whitespace,removed,,,,,N
convention,trailing-whitespace,net impact,,,,,N
convention,consider-using-f-string,introduced,2.0,0.0,0.0032424074158400843,-0.48,L
convention,consider-using-f-string,removed,0.0,0.0,0.04970068152466921,-0.26222222222222225,S
convention,consider-using-f-string,net impact,0.0,0.0,0.14251997518652584,-0.17777777777777778,S
convention,too-many-lines,introduced,0.0,0.0,1.0,0.0,N
convention,too-many-lines,removed,0.0,0.0,0.5637028616507731,-0.07142857142857142,N
convention,too-many-lines,net impact,0.0,0.0,0.31731050786291415,0.07142857142857142,N
convention,missing-function-docstring,introduced,1.0,0.0,0.03125,-0.5208333333333334,L
convention,missing-function-docstring,removed,0.0,0.0,0.84375,-0.0625,N
convention,missing-function-docstring,net impact,0.5,0.0,0.17578125,-0.3194444444444444,S
convention,wrong-import-order,introduced,1.0,0.0,0.78125,-0.1322314049586777,N
convention,wrong-import-order,removed,0.0,0.0,1.0,-0.09917355371900827,N
convention,wrong-import-order,net impact,0.0,0.0,1.0,-0.03305785123966942,N
convention,missing-class-docstring,introduced,,,,,N
convention,missing-class-docstring,removed,,,,,N
convention,missing-class-docstring,net impact,,,,,N
convention,import-outside-toplevel,introduced,,,,,N
convention,import-outside-toplevel,removed,,,,,N
convention,import-outside-toplevel,net impact,,,,,N
convention,wrong-import-position,introduced,,,,,N
convention,wrong-import-position,removed,,,,,N
convention,wrong-import-position,net impact,,,,,N
convention,missing-module-docstring,introduced,,,,,N
convention,missing-module-docstring,removed,,,,,N
convention,missing-module-docstring,net impact,,,,,N
